brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,sold per day,Total Revenue,Total Visitors 
Charlotte Tilbury,North America,Miami,Art/Design District,Flash Event,2/25/24,3/2/24,6,LE-UQYNQA1A,Charlotte Tilbury Glow Mascara,62.21,1107,3056,98.9,509.3333333,190113.76,6642
Valentino Beauty,North America,New York,Airport Duty-Free,Flash Event,3/17/24,6/9/24,84,LE-9E9FTDSM,Valentino Beauty Pearl Eyeshadow Palette,77.93,1652,2782,86.32,33.11904762,216801.26,138768
YSL Beauty,Europe,Berlin,Airport Duty-Free,Standalone Pop-Up,2/26/25,3/10/25,12,LE-W921CLUG,YSL Beauty Glow Eyeshadow Palette,149.91,752,2720,69.18,226.6666667,407755.2,9024
Hermès Beauty,North America,Chicago,Airport Duty-Free,Standalone Pop-Up,7/6/25,8/4/25,29,LE-MPO4BX6H,Hermès Beauty Pearl Highlighter,80.32,1688,203,66.78,7,16304.96,48952
Tom Ford Beauty,Europe,London,High-Street,Shop-in-Shop,12/6/24,12/25/24,19,LE-M3D94MYP,Tom Ford Beauty Noir Highlighter,56.15,1012,1292,80.1,68,72545.8,19228
Givenchy Beauty,Europe,Madrid,Airport Duty-Free,Mall Kiosk,2/9/25,4/6/25,56,LE-XC24B5BF,Givenchy Beauty Opulence Lipstick,38.53,1405,489,57.73,8.732142857,18841.17,78680
Guerlain,Asia-Pacific,Tokyo,Department Store Atrium,Mobile Pop-Up Truck,1/7/25,2/25/25,49,LE-UM8IQ2M4,Guerlain Satin Blush,64.51,833,594,86.46,12.12244898,38318.94,40817
Rare Beauty,Europe,London,Art/Design District,Mall Kiosk,2/21/24,5/8/24,77,LE-VF37GYEW,Rare Beauty Lumière Setting Powder,58.7,951,2480,56.31,32.20779221,145576,73227
Pat McGrath Labs,North America,Toronto,Luxury Mall,Shop-in-Shop,7/28/24,8/19/24,22,LE-62JBXHRU,Pat McGrath Labs Satin Blush,47.17,1566,1574,72.4,71.54545455,74245.58,34452
Estée Lauder,Europe,London,Airport Duty-Free,Mall Kiosk,3/31/24,6/16/24,77,LE-S5MMVMDZ,Estée Lauder Mirage Highlighter,47.71,1333,2538,61.17,32.96103896,121087.98,102641
Armani Beauty,North America,Miami,High-Street,Shop-in-Shop,10/11/24,1/8/25,89,LE-4U7A4IY2,Armani Beauty Glow Fragrance,118.17,2097,3307,83.89,37.15730337,390788.19,186633
Charlotte Tilbury,Europe,Madrid,Department Store Atrium,Standalone Pop-Up,4/30/24,6/21/24,52,LE-QZSWQGCX,Charlotte Tilbury Opulence Eyeshadow Palette,93.38,1313,2375,66.9,45.67307692,221777.5,68276
Givenchy Beauty,Latin America,Buenos Aires,High-Street,Standalone Pop-Up,4/4/24,4/19/24,15,LE-6VLGOBDP,Givenchy Beauty Noir Eyeshadow Palette,67.69,1240,2939,60.89,195.9333333,198940.91,18600
La Prairie,North America,Miami,Department Store Atrium,Flash Event,3/8/24,4/6/24,29,LE-XBK5QA4S,La Prairie Glow Mascara,42.61,921,2725,85.08,93.96551724,116112.25,26709
MAC Cosmetics,Asia-Pacific,Seoul,Luxury Mall,Mobile Pop-Up Truck,9/4/24,12/2/24,89,LE-AMSY19SB,MAC Cosmetics Noir Highlighter,77.8,974,2727,77.78,30.64044944,212160.6,86686
YSL Beauty,Middle East,Riyadh,Airport Duty-Free,Mall Kiosk,5/7/24,7/18/24,72,LE-EX9VSIH6,YSL Beauty Mirage Fragrance,316.49,1258,2852,60.67,39.61111111,902629.48,90576
Chanel,North America,Toronto,Luxury Mall,Standalone Pop-Up,1/25/25,4/23/25,88,LE-8YA56CT5,Chanel Éclat Fragrance,211.05,2033,2870,77.8,32.61363636,605713.5,178904
NARS,Asia-Pacific,Shanghai,Art/Design District,Shop-in-Shop,6/22/24,7/8/24,16,LE-JWFNJJSV,NARS Lumière Highlighter,78.02,1350,1637,62.99,102.3125,127718.74,21600
Sisley-Paris,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2/10/25,2/18/25,8,LE-386SS2FI,Sisley-Paris Glow Primer,48.69,2199,389,80.54,48.625,18940.41,17592
Bobbi Brown,Latin America,Lima,Art/Design District,Flash Event,3/31/25,6/7/25,68,LE-K4E6KSXV,Bobbi Brown Glow Highlighter,51.55,621,3054,63.9,44.91176471,157433.7,42228
Dior,Latin America,Unknown,Luxury Mall,Mobile Pop-Up Truck,7/18/24,8/29/24,42,LE-UF2MHEQ3,Dior Lumière Lipstick,54.11,896,803,64.97,19.11904762,43450.33,37632
Sisley-Paris,Europe,Unknown,Airport Duty-Free,Mall Kiosk,4/25/24,5/24/24,29,LE-WTLTYMCW,Sisley-Paris Noir Foundation,119.54,1425,1104,52.27,38.06896552,131972.16,41325
Sisley-Paris,Europe,Milan,Airport Duty-Free,Mobile Pop-Up Truck,3/10/24,3/25/24,15,LE-3UBWPR86,Sisley-Paris Velvet Foundation,71.57,2168,2045,73.64,136.3333333,146360.65,32520
Armani Beauty,Asia-Pacific,Seoul,High-Street,Mobile Pop-Up Truck,4/10/25,4/27/25,17,LE-KE3UKZ0P,Armani Beauty Opulence Serum,232.34,2573,3294,71.45,193.7647059,765327.96,43741
Hermès Beauty,Latin America,São Paulo,High-Street,Standalone Pop-Up,4/22/24,5/18/24,26,LE-BC3YJ44I,Hermès Beauty Velvet Mascara,49.93,2220,2173,52.48,83.57692308,108497.89,57720
La Prairie,North America,Miami,Luxury Mall,Flash Event,4/6/24,4/23/24,17,LE-1VMHOQLW,La Prairie Éclat Lipstick,39.38,1606,743,61.3,43.70588235,29259.34,27302
Clé de Peau Beauté,Latin America,São Paulo,Airport Duty-Free,Mobile Pop-Up Truck,4/6/25,6/11/25,66,LE-VOI6Y1PF,Clé de Peau Beauté Pearl Lipstick,41.09,2007,1224,100,18.54545455,50294.16,132462
Hermès Beauty,Latin America,Bogotá,Art/Design District,Shop-in-Shop,2/8/25,2/22/25,14,LE-PT8EMZ2G,Hermès Beauty Opulence Eyeshadow Palette,115.29,874,678,46.25,48.42857143,78166.62,12236
Valentino Beauty,Europe,Berlin,Airport Duty-Free,Shop-in-Shop,10/3/24,11/14/24,42,LE-5GC15BFT,Valentino Beauty Éclat Eyeshadow Palette,149.86,2219,118,44.53,2.80952381,17683.48,93198
